Object,Band,mag_5kpc,e_5kpc,magerr_5kpc,zerr_5kpc,npix_5kpc,mag_10kpc,e_10kpc,magerr_10kpc,zerr_10kpc,npix_10kpc,mag_15kpc,e_15kpc,magerr_15kpc,zerr_15kpc,npix_15kpc,mag_30kpc,e_30kpc,magerr_30kpc,zerr_30kpc,npix_30kpc
SN2010dl,FUV,25.165250611836584,1.541622558661754,1.541622558661754,0.0,69,nan,1.0234028379939966,1.0074626698032587,0.1799231440561674,258,nan,0.5473188370453391,0.5267339702432532,0.14869174145339117,564,nan,0.21409337178730684,0.16846612496014962,0.13211788896349067,2226
SN2010dl,NUV,24.321696090983473,1.2226624839931328,1.2226624839931328,0.0,69,22.964018974809402,0.5956571511722915,0.5917440832971265,0.06816437211280889,258,22.33896379021692,0.1693445712883488,0.15945959275564248,0.05701071919419452,564,21.059964168414417,0.5814441328112038,0.5780984938418484,0.06228491790440959,2226
SN2017gaw,FUV,21.32303207436739,1.2620665142431025,1.2617096427520793,0.030011060630295933,44,20.100734855204845,0.6316521831306088,0.631318437321673,0.020530736747250092,163,19.32470412388694,0.22980363648759447,0.2295856565058324,0.010006881117930784,358,18.19183373145618,0.4253256247871,0.4251077509782039,0.01361202258264219,1402
SN2017gaw,NUV,20.68912784290117,0.3161282182745719,0.31471277381380125,0.02988177350624532,44,19.43600279411749,0.3279187001454453,0.326829115823866,0.02670960416907088,163,18.738456257384584,0.6787501641409458,0.6787248556740076,0.0058613660232390685,358,17.680697292972635,1.2972519055381182,1.2971129176209022,0.018989085372119095,1402
SN2017fqo,FUV,20.12410031290247,0.4972014957100201,0.4962900241117435,0.030092180104575338,241,19.38642386024195,0.06580777413780682,0.06462316315401186,0.012430201967086465,938,18.869790635400907,0.40842092438304595,0.40838360290985853,0.005521263285221818,2093,17.79878606550857,1.1708411806401098,1.1708221459722268,0.006676285173377959,8282
SN2017fqo,NUV,19.765092460059808,0.23190114358834482,0.22909830864144734,0.035945867289721406,241,18.96728065312614,0.7803347975784877,0.780183513376411,0.015364952570666297,938,18.406153678629437,1.0981466210087614,1.0981174159653855,0.008008869237580655,2093,17.28227116453514,1.8056934078754456,1.8056893277571122,0.0038386024681772613,8282
SN2017fvf,FUV,-99,-99,-99,-99,182,-99,-99,-99,-99,715,-99,-99,-99,-99,1594,24.205502315960086,1.1993327567488592,1.0042774592205723,0.6556110480401394,6312
SN2017fvf,NUV,-99,-99,-99,-99,182,-99,-99,-99,-99,715,-99,-99,-99,-99,1594,21.895404041029995,1.3314660426720015,1.3268023297632232,0.11134361465087789,6312
SN2017dhu,NUV,22.812030718874315,0.8644320560542,0.8644320560542,0.0,37,21.609396162424368,0.18468006925842384,0.1792321223719454,0.0445261079743582,144,21.46026256262282,0.15013246775071537,0.1500275991242699,0.005610470027275407,315,20.27575208435639,0.771155187602619,0.7711551303409824,0.00029717875603239776,1212
SN2017aym,FUV,16.92262321877764,1.0226235247551834,1.0223706181470642,0.02274186738825239,1713,16.61830636816751,1.3830535637431007,1.3828546457033462,0.02345610878138509,6760,16.421765752458963,1.6426763055985645,1.642546018476065,0.020688696512226438,15165,16.01767144388013,2.124886454895179,2.1248168758594512,0.01719564653869155,60398
SN2017aym,NUV,16.214981258969623,1.9419568605591218,1.9417426172568228,0.028845391334911555,1713,15.886034667862232,2.2646995791205895,2.2645581800602668,0.025306773621080463,6760,15.679337450259844,2.4986985402353064,2.498562795707198,0.02604517002979367,15165,15.184979797476377,2.956957102946503,2.9554088370940326,0.09567609049430734,60398
SN2017dch,NUV,22.413111540163086,0.9645078690752441,0.9645078690752441,0.0,29,21.270609135306238,0.34945710625191984,0.34945710625191984,0.0,105,20.571593405191308,0.0293586706456966,0.02340397793586934,0.01772527457784021,231,20.102148797336184,0.47404798790134245,0.47402266829168305,0.004899467210250689,900
